KS ID,UID,Kinase
416,646,Nik
416,645,PLK4
417,647,Nik
418,648,AurA
418,649,PAK1
419,650,MAPKAPK2
420,651,ERK1
420,652,ERK2
421,653,CK2A1
422,654,ERK1
422,655,ERK2
423,656,ERK1
423,657,ERK2
424,659,ATM
424,658,DNAPK
425,662,ATM
425,661,ATR
425,660,DNAPK
426,663,DNAPK
427,664,DNAPK
428,665,DNAPK
429,668,ATM
429,667,ATR
429,666,DNAPK
430,669,DNAPK
431,671,Akt1
431,672,Akt1
431,670,Chk1
432,673,Chk1
433,674,Akt1
433,675,Akt1
434,676,Akt1
434,677,Akt1
435,678,ERK1
435,679,ERK2
436,680,CDK1
437,681,TLK2
438,682,TLK2
439,683,PKACA
440,685,ASK1
440,686,LRRK2
440,684,PRKD1
441,687,JAK1
441,688,JAK2
442,690,ASK1
442,689,PDK1
443,691,ASK1
444,692,ASK1
445,693,LRRK2
446,696,Akt1
446,698,Akt1
446,695,Akt2
446,694,Pim1
446,697,RSK2
446,699,RSK2
447,700,RSK2
447,701,RSK2
448,702,RSK2
448,703,RSK2
449,704,Src
450,707,Akt1
450,708,Akt1
450,706,MSK1
450,705,PKACA
451,709,PLK1
452,710,PLK1
453,711,AurB
454,712,Src
455,713,CK2A1
456,714,CK2A1
457,715,GSK3B
458,716,CK2A1
459,718,CK1A
459,717,CK2A1
460,720,CK1A
460,719,CK2A1
461,722,CK1A
461,721,CK2A1
462,724,CK1A
462,723,CK2A1
463,726,CK1A
463,725,CK2A1
464,727,CDK3
464,728,MSK1
465,730,PKCA
465,731,PKCB
465,729,PKCB iso2
466,732,ERK1
466,735,JNK1
466,734,JNK2
466,733,P38A
466,736,PLK3
467,737,ERK1
467,739,ERK2
467,741,JNK1
467,740,JNK2
467,738,P38A
467,742,PLK3
468,743,VRK1
469,744,VRK1
470,745,CDK2
471,746,ERK2
471,748,JNK1
471,747,JNK2
472,749,PKCE
473,750,ATM
474,751,ATM
475,752,Ret
476,753,Ret
477,754,Ret
478,755,Ret
479,756,RSK2
479,757,RSK2
480,758,P38A
481,759,P38B
482,760,ULK1
483,761,IKKA
484,762,ULK1
485,763,MST4
486,764,Akt1
486,765,Akt1
487,766,AMPKA1
487,767,ULK1
488,768,Src
489,769,Src
490,770,ULK1
491,771,ALK
492,772,CDK5
493,774,ATM
493,773,ATR
494,775,ATM
495,776,ATM
496,777,ATM
497,778,ATM
498,779,ATM
499,780,AurB
500,781,EGFR
501,782,PKACA
502,783,Src
503,784,PKCA
504,785,Akt2
505,786,Akt2
506,787,Akt2
507,788,PKACA
508,789,PKACA
509,790,CDK1
510,791,Abl
511,792,Abl
512,793,ATR
513,794,CDK2
514,795,ATR
515,796,ATR
516,797,AurA
517,798,AurA
518,799,AurA
518,800,Src
519,801,AurA
520,802,AurA
521,803,AurA
522,804,AurA
523,805,AurA
524,806,AurA
525,807,AurA
526,808,AurA
526,809,PAK1
527,810,AurA
528,811,AurA
529,812,AurA
530,813,AurA
530,815,PAK1
530,814,PKACA
531,816,Chk1
532,817,PKCE
533,818,AurB
534,819,AurB
534,820,MST1
535,821,AurB
536,822,ATM
537,823,ATM
538,824,PKACA
539,825,CDK5
540,826,PLK1
541,828,CK1A
541,827,CK1D
541,829,ROCK2
542,830,P38A
543,831,CDK5
544,832,p70S6K
545,839,ARAF
545,846,BRAF
545,836,ERK1
545,841,ERK2
545,842,p90RSK
545,844,PAK1
545,845,Pim1
545,840,Pim3
545,835,PKACA
545,843,PKCE
545,837,PKCI
545,834,PKCT
545,838,PRKD1
545,833,RAF1
545,847,RSK2
545,848,RSK2
546,853,ARAF
546,856,BRAF
546,855,PAK1
546,850,PKACA
546,854,PKCE
546,851,PKCI
546,852,PRKD1
546,849,RAF1
547,866,Akt1
547,868,Akt1
547,862,ARAF
547,865,BRAF
547,864,PAK1
547,859,PKACA
547,863,PKCE
547,860,PKCI
547,858,PKCT
547,861,PRKD1
547,857,RAF1
547,867,RSK2
547,869,RSK2
548,870,CDK1
549,871,PAK1
550,873,BRAF
550,872,PAK1
551,874,VRK1
551,875,VRK2
552,876,VRK1
552,877,VRK2
552,878,VRK3
553,879,VRK1
553,880,VRK2
554,881,MAPKAPK2
555,882,PKCD
556,883,ERK1
556,884,mTOR
557,885,ERK1
557,886,mTOR
558,887,Etk
559,888,ERK1
559,889,ERK2
560,890,ERK1
560,891,ERK2
561,892,CAMK4
562,893,CDK1
562,894,CDK2
563,895,CDK1
563,896,CDK2
564,897,CDK1
564,898,CDK2
565,899,CDK1
565,900,CDK2
566,901,PKCA
567,902,CDK2
568,903,Chk1
569,904,ICK
570,905,ATM
571,906,ATM
572,907,GSK3B
573,908,PKCZ
574,909,Chk1
575,910,Abl
576,911,Abl
577,912,Abl
578,913,Abl
579,914,Abl
580,915,IKKB
581,916,Akt1
581,917,Akt1
582,918,Akt1
582,919,Akt1
583,920,PKCA
584,921,ERK1
584,922,ERK2
585,924,CDK1
585,923,ERK1
585,926,ERK2
585,925,P38A
586,927,ERK1
586,929,ERK2
586,930,JNK1
586,928,P38A
587,932,JNK1
587,931,PKCA
588,933,JNK1
589,934,GSK3B
590,935,IKKA
590,936,IKKB
591,937,GSK3A
592,938,GSK3A
593,939,Akt1
593,940,Akt1
594,941,ERK1
594,942,ERK2
595,943,ERK1
595,944,ERK2
596,945,Src
597,946,Src
598,947,Src
599,948,Src
600,949,Src
601,950,Src
602,951,GSK3B
603,952,CDK2
604,956,GSK3A
604,954,GSK3B
604,959,JNK1
604,958,JNK2
604,953,MAPKAPK2
604,955,P38A
604,957,PLK1
605,961,JNK1
605,960,JNK2
606,963,JNK1
606,962,JNK2
607,964,PLK3
608,966,Abl
608,965,BCR-ABL1
608,968,Fyn
608,967,Hck
608,969,LYN
608,970,LYN
609,971,BCR-ABL1
610,972,BCR-ABL1
611,973,BCR-ABL1
612,974,Fes
613,975,Chk2
614,976,TEC
615,977,TEC
616,978,TEC
617,979,TEC
618,980,CAMK2A
618,983,DAPK3
618,981,MAPKAPK2
618,982,MAPKAPK3
619,984,AMPKA1
620,985,CK1G2
621,986,CK1G2
622,987,DAPK1
623,989,EGFR
623,988,FAK
624,990,MST1
625,991,EGFR
626,992,EGFR
627,993,Akt1
627,994,Akt1
628,996,PKCA
628,995,PKCD
629,998,JNK1
629,997,JNK2
629,999,JNK3
630,1000,CK2A1
631,1001,CK2A1
632,1002,AurA
633,1003,AurA
634,1004,AurA
635,1005,ERK1
635,1006,ERK2
636,1007,Akt1
637,1008,CDK1
637,1009,JNK1
638,1010,JNK1
639,1011,JNK1
640,1012,Src
641,1013,Src
642,1014,GRK4
643,1015,GRK4
644,1016,GRK4
644,1017,PKCA
645,1018,Chk1
646,1019,Chk1
646,1020,Chk2
647,1021,Chk1
648,1022,CDK1
649,1023,CDK1
650,1024,GSK3B
651,1025,CDK2
652,1026,NEK11
653,1028,ATM
653,1027,ATR
654,1030,ATM
654,1029,ATR
655,1031,TTK
656,1032,TTK
657,1033,TTK
658,1034,Syk
659,1035,Syk
660,1036,Syk
661,1037,Syk
662,1038,Syk
663,1039,GSK3B
664,1040,GSK3B
665,1041,ERK2
665,1042,JNK1
666,1043,ERK2
667,1044,CK2A1
668,1045,Akt1
668,1046,Akt1
669,1047,CK2A1
670,1048,CDK2
671,1049,CDK1
672,1050,CDK1
673,1051,CDK1
674,1052,CDK1
675,1053,GSK3B
676,1054,GSK3B
677,1055,PLK1
678,1057,ATR
678,1056,PLK1
679,1058,CDK9
680,1059,TTK
681,1060,TTK
682,1061,TTK
683,1062,TTK
684,1063,TTK
685,1064,AurB
686,1065,AurB
687,1066,AurB
688,1067,AurB
689,1068,AurB
690,1069,AMPKA1
691,1070,ERK1
691,1071,ERK2
692,1072,ERK1
692,1073,ERK2
693,1074,PAK1
694,1075,BRAF
695,1076,BRAF
696,1078,Akt1
696,1079,Akt1
696,1077,Akt3
697,1081,Akt1
697,1082,Akt1
697,1080,Akt3
698,1083,CK2A1
699,1084,AurA
700,1085,FRK
701,1086,CDK1
702,1089,ATM
702,1087,CDK1
702,1088,CDK2
703,1091,ATM
703,1090,CDK1
704,1092,Chk2
705,1093,CDK4
706,1094,PLK1
707,1095,ATR
708,1097,ATM
708,1096,ATR
709,1099,ATM
709,1098,ATR
710,1101,ATM
710,1100,ATR
711,1102,ATR
712,1103,ATM
713,1104,ATM
714,1105,Akt1
715,1106,Akt1
715,1107,Akt1
716,1108,PLK1
717,1109,PLK1
718,1110,PLK1
719,1111,PLK1
720,1112,PLK1
721,1113,mTOR
722,1115,Akt1
722,1116,Akt1
