Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
FAM173B,0.725060948,0.147372703,6.218872291,2.47E-08,1.70E-07,8.565090358
FAM174A,0.301846234,0.106980888,1.086135702,0.280842327,0.353576907,-6.575817603
FAM174B,0.684675585,0.159019758,5.042078882,3.03E-06,1.30E-05,3.872698595
FAM175A,0.359657928,0.19485591,1.430585108,0.156636444,0.213600394,-6.148357231
FAM175B,0.056061328,-0.008740852,0.533694582,0.595105991,0.662982564,-7.022155881
FAM178B,-0.810598454,-0.092668784,-7.421494016,1.38E-10,1.57E-09,13.66940226
FAM179A,-0.112184012,0.108117842,-0.935372558,0.352550649,0.428956248,-6.727244511
FAM179B,0.341364194,-0.02659211,1.235363117,0.220489953,0.287074896,-6.404417178
FAM181A,-0.624643057,-0.082232725,-6.18153299,2.90E-08,1.96E-07,8.410550942
FAM181A-AS1,0.062411231,0.053270547,0.702101011,0.484754876,0.559268746,-6.91788499
FAM181B,0.205078986,0.107784271,1.951090414,0.054721713,0.085473054,-5.294876779
FAM182B///FAM182A,-0.619927809,-0.009349287,-6.454814427,9.08E-09,6.91E-08,9.548241838
FAM183CP,-0.137997244,-0.010516477,-2.093126149,0.039665047,0.064288622,-5.020432259
FAM184A,-0.10724417,0.017755548,-1.845102711,0.068907187,0.104425192,-5.48829208
FAM184B,-0.081614023,0.086847809,-0.85842785,0.393347953,0.470455077,-6.796020801
FAM185A,0.108142287,0.238165859,0.839989155,0.403541809,0.481026927,-6.81164295
FAM186A,0.311963383,0.179974015,3.394433977,0.001094311,0.002614698,-1.764033356
FAM186B,-0.632045203,-0.1566916,-5.924826906,8.49E-08,5.13E-07,7.356675547
FAM187A///CCDC103,0.027496119,0.075346588,0.294304148,0.769325579,0.816198563,-7.121731804
FAM187B,-0.166335762,0.034505395,-2.598899881,0.011223623,0.021041097,-3.90710895
FAM188A,0.422990077,0.008511295,2.549112294,0.012809171,0.023620962,-4.025799255
FAM189A1,0.246073698,0.125204945,1.970592806,0.052402169,0.082193026,-5.258221385
FAM189A2,-0.153243785,0.042038459,-1.190086976,0.237706116,0.306562253,-6.45866597
FAM189B,0.199856695,0.073871507,2.563670457,0.012325821,0.022828144,-3.991292967
FAM192A,0.222376131,0.021961702,2.206440233,0.030364939,0.050739909,-4.789198221
FAM193A,-0.091276165,-0.189526104,-0.5241684,0.601682537,0.66896766,-7.027212129
FAM193B,0.163197904,0.04074779,1.682353921,0.096593191,0.140406704,-5.765974427
FAM196A,0.424210758,0.163997742,4.987865036,3.74E-06,1.57E-05,3.667203374
FAM198A,-0.132053458,0.06947767,-1.321144956,0.190405797,0.252990147,-6.296311975
FAM198B,0.631852991,0.103075345,7.671761318,4.60E-11,5.82E-10,14.75331598
FAM199X,-0.067119597,0.050673082,-0.904923896,0.368357437,0.445311496,-6.755151265
FAM19A1,-0.037102982,0.03986786,-0.521765544,0.603346651,0.670415338,-7.028473225
FAM19A2,1.219594346,0.336702748,6.412313869,1.09E-08,8.13E-08,9.370336406
FAM19A4,-0.047368262,0.008356031,-0.857405855,0.393908768,0.470999986,-6.796895395
FAM19A5,1.70701664,0.295427572,7.587857008,6.65E-11,8.10E-10,14.38938773
