Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Division,Category
NEUROD2,-0.668327785,-0.000826347,-5.573666627000001,3.61e-07,3.04e-06,5.939966599,NA,NA
NEUROD4,-0.670830362,0.007261724000000001,-4.719373732,1.05e-05,5.660000000000001e-05,2.664147818,NA,NA
NEUROD6,-0.6419324679999999,-0.004363527,-3.745727317,0.000347469,0.00116072,-0.6857166920000001,NA,NA
NEUROG1,-0.20744356100000003,0.090670927,-1.472767163,0.144931737,0.20843691600000003,-6.091049195,NA,NA
NEUROG2,-0.17687429100000002,0.09966059099999999,-1.104983082,0.272643063,0.355268956,-6.558057767,NA,NA
NEUROG3,-0.241827147,0.084682853,-1.456432622,0.149380538,0.21398819800000002,-6.114482035,NA,NA
NEXN,1.262692712,0.399824899,3.1214665810000004,0.002542378,0.006523578,-2.552039287,NA,NA
NEXN-AS1,-0.018536866000000003,0.017178756,-0.211578183,0.8330008879999999,0.871572737,-7.145520461,NA,NA
NF1,-0.114353679,0.073374602,-1.054773476,0.294861223,0.37952451600000003,-6.611841329,NA,NA
NF1P9///NF1,1.173866707,0.12363104300000001,5.637639806,2.7800000000000003e-07,2.42e-06,6.19510643,NA,NA
NF2,0.129147307,0.125498782,0.9880370890000001,0.326260897,0.412767217,-6.6795649610000005,NA,NA
NFAM1,-0.413195464,0.279181357,-1.835952159,0.070264895,0.113520157,-5.507206834,NA,NA
NFASC,1.25374317,0.280821387,2.914089704,0.004680073,0.011095263999999999,-3.1146429469999997,NA,NA
NFAT5,0.613544619,0.21182241100000002,1.857359585,0.067123081,0.10932654,-5.469104488999999,NA,NA
NFATC1,1.098937837,0.092193556,3.676760755,0.000437545,0.0014152379999999999,-0.903826738,NA,NA
NFATC2,0.8746372570000001,0.230774005,2.6764519019999997,0.009105414000000001,0.019749283,-3.7210360860000002,NA,NA
NFATC2IP,2.087183059,0.10767133599999999,6.940348479,1.1199999999999999e-09,2.08e-08,11.600476800000001,NA,NA
NFATC3,1.030961977,0.151010434,3.743569388,0.00034999699999999995,0.001167235,-0.692583608,NA,NA
NFATC4,0.065712548,0.14010187400000002,0.313608734,0.754674932,0.809462358,-7.118559896,NA,NA
NFE2,0.588332201,0.0961469,3.6762453639999997,0.000438295,0.001417458,-0.905446097,NA,NA
NFE2L1,1.7919608280000001,-0.022615166000000003,6.807014456,2e-09,3.44e-08,11.03268682,NA,NA
