Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Division,Category
ACER3,0.294150814,0.056296234,1.669395657,0.09914182699999999,0.143650921,-5.787065041,NA,NA
ACHE,0.514836906,0.169171501,5.031516021,3.16e-06,1.34e-05,3.832573613,NA,NA
ACIN1,0.036241027,-0.031480569,0.286358324,0.775380656,0.8214805740000001,-7.124052726,NA,NA
ACKR1,0.470534456,0.22567332699999998,2.579359198,0.011823432,0.022026197,-3.9539222030000003,NA,NA
ACKR2,-0.656877455,0.018793442,-5.65112827,2.63e-07,1.42e-06,6.251270801,NA,NA
ACKR3,0.641443702,0.131583211,3.709502623,0.00039231300000000004,0.0010415280000000001,-0.79811846,NA,NA
ACKR4,0.6785112320000001,0.34068455200000003,3.599943058,0.000563935,0.00144452,-1.140907215,NA,NA
ACLY,0.041173064,0.075711683,0.275365371,0.7837807240000001,0.8284834090000001,-7.127159187,NA,NA
ACMSD,-0.17320627,-0.009762627,-3.201942621,0.001992067,0.004473093,-2.323086254,NA,NA
ACO1,0.034139044,0.081817555,0.290122715,0.772510258,0.819153908,-7.122961073,NA,NA
ACO2,-0.349139091,-0.08414222,-3.819727359,0.000270585,0.000743497,-0.44610512799999996,NA,NA
ACOD1,-0.403655494,-0.025097026,-4.985916512,3.77e-06,1.58e-05,3.659838337,NA,NA
ACOT1///ACOT2,0.722174643,0.211234581,3.655900218,0.00046890699999999996,0.001225111,-0.966727355,NA,NA
ACOT11,-0.18706552199999998,0.100031135,-1.536101224,0.128654826,0.17994831600000002,-5.995170012000001,NA,NA
ACOT12,-0.073830453,0.023446632999999998,-1.237363322,0.21975097300000002,0.286230151,-6.401975681000001,NA,NA
ACOT13,-0.082732127,-0.056717205,-0.662343519,0.5097490410000001,0.582761405,-6.945036493,NA,NA
ACOT4,-0.530091413,-0.036460142,-4.877883186,5.73e-06,2.3e-05,3.253796462,NA,NA
ACOT6,-0.09194932800000001,0.003644587,-1.68822256,0.09545665800000001,0.13896873199999998,-5.75637296,NA,NA
ACOT7,0.219835993,0.223485701,1.161516915,0.249056516,0.319144504,-6.49189377,NA,NA
ACOT8,-0.6662419270000001,0.07493478099999999,-4.562594381,1.9e-05,6.78e-05,2.09612104,NA,NA
ACOT9,0.86639702,0.108815176,4.344887684,4.2499999999999996e-05,0.000140165,1.3224674840000001,NA,NA
ACOX1,-0.047006634000000005,0.086810148,-0.288115497,0.774040396,0.82042049,-7.123544926,NA,NA
ACOX2,0.403668539,0.156232951,3.331682642,0.001333477,0.00311776,-1.948957847,NA,NA
ACOX3,0.211504647,0.017179973,2.278660102,0.02548825,0.043426959,-4.6362358960000005,NA,NA
ACOXL,0.352696734,0.09906386199999999,5.697366326,2.1800000000000002e-07,1.2e-06,6.436584321000001,NA,NA
ACP1,-0.045589345,0.011332791000000002,-0.619716269,0.5372929670000001,0.6090026070000001,-6.972409651,NA,NA
ACP2,0.19322253600000003,-0.078275352,1.362940552,0.176914601,0.237335145,-6.241129449,NA,NA
ACP5,0.20737549600000002,0.07153975,1.2479877320000001,0.215856133,0.28180125300000003,-6.388943707999999,NA,NA
ACP6,-0.710382812,0.092401155,-5.975491859,6.88e-08,4.2700000000000005e-07,7.563435611,NA,NA
ACPP,-0.603377407,0.269846145,-3.636017134,0.00050078,0.001298616,-1.028834436,NA,NA
ACPT,0.18238669100000002,0.055809932,1.699772104,0.093251843,0.136294014,-5.737386637999999,NA,NA
ACR,-0.16503823,0.003149505,-1.905239381,0.060521065,0.093268506,-5.379754305,NA,NA
ACRBP,0.219411267,0.128342585,2.225090981,0.029032952,0.048741405,-4.7501092289999995,NA,NA
ACRC,0.256113634,0.271585481,0.9530521959999999,0.34357653,0.419599565,-6.710626733,NA,NA
ACRV1,-0.528614906,-0.030187548999999998,-6.649533636,3.95e-09,3.26e-08,10.36749447,NA,NA
ACSBG1,-0.010613828,0.015338343,-0.17476454,0.861728086,0.8922861040000001,-7.149947677999999,NA,NA
ACSBG2,-0.75808165,-0.07357608,-7.518967135,8.99e-11,1.06e-09,14.09097361,NA,NA
ACSF2,0.07159101,-0.01095268,0.435231882,0.664624165,0.725231466,-7.0700504660000005,NA,NA
ACSF3,0.025354851,0.038912765,0.30303793,0.762686567,0.81069879,-7.119107614,NA,NA
ACSL1,0.201827069,0.20737975399999997,1.1918409140000001,0.23702164399999998,0.305790428,-6.45660074,NA,NA
ACSL3,1.393964843,0.115304907,5.388266261,7.65e-07,3.73e-06,5.209808243,NA,NA
ACSL4,0.274149996,0.130734827,2.746713235,0.007507675,0.014695917,-3.543514824,NA,NA
ACSL5,-0.024142384,0.031128443999999998,-0.13988863699999998,0.889117004,0.915060393,-7.155472201,NA,NA
ACSL6,0.10867845400000001,0.05620896400000001,1.681507209,0.096758074,0.14062693,-5.767357142000001,NA,NA
ACSM1,0.145990483,0.07780334,1.851743903,0.067935627,0.103185069,-5.476461695,NA,NA
ACSM2A,1.122123171,0.667815458,5.054239375,2.89e-06,1.24e-05,3.9189441069999997,NA,NA
ACSM2B,-0.019077851,0.087611544,-0.23513939999999997,0.8147311740000001,0.8542509979999999,-7.1374918339999995,NA,NA
ACSM2B///ACSM2A,-0.076310698,0.072936773,-0.956560428,0.341813608,0.417676117,-6.707293083,NA,NA
ACSM3,-0.558608396,0.231713294,-3.433491925,0.000966527,0.002343392,-1.6476508,NA,NA
ACSM5,0.69922182,0.19382643300000002,6.289353885,1.84e-08,1.3e-07,8.857605743999999,NA,NA
ACSS1,0.306888538,0.197105012,3.0111786019999998,0.00352882,0.007500850999999999,-2.852440609,NA,NA
ACSS2,0.184745095,-0.031491392,1.619946406,0.10937448300000001,0.156387002,-5.866152897,NA,NA
ACSS3,1.382752679,0.112446276,4.36703258,3.9200000000000004e-05,0.000130379,1.400143544,NA,NA
ACTA1,0.514479494,0.157636226,6.339030618,1.49e-08,1.08e-07,9.064391256,NA,NA
ACTA2,-0.270001806,0.031381446,-2.779225948,0.006858876,0.013569363000000001,-3.461323335,NA,NA
ACTA2-AS1,0.905517598,0.22540900600000002,9.310784995,3.31e-14,8.66e-13,21.90516329,NA,NA
ACTB,-0.058733109000000006,0.015777005,-0.937118398,0.351657793,0.428127756,-6.725617054,NA,NA
ACTBP9,-0.23517443899999999,-0.032889837000000005,-2.274583732,0.025743900000000004,0.043805437,-4.644984303999999,NA,NA
ACTC1,0.329255307,0.092598221,2.672913125,0.009193535,0.01761314,-3.727129722,NA,NA
ACTG1///ACTB,0.743498505,-0.161200636,4.538772746999999,2.08e-05,7.329999999999999e-05,2.0104017659999998,NA,NA
ACTG1P17,0.002242547,0.051451400999999994,0.036665649,0.970847465,0.9784652359999999,-7.16464867,NA,NA
ACTG1P4///AMY2B///AMY2A///AMY1C///AMY1B///AMY1A,-1.113291862,0.434078776,-2.298480845,0.024276854,0.04167614,-4.593503663,NA,NA
ACTG1P4///RNPC3///AMY2B,-0.340762235,0.009941008000000001,-2.235613078,0.028304347,0.047633361,-4.727929245,NA,NA
ACTG2,2.61500149,0.87574227,6.731583485,2.7699999999999997e-09,2.37e-08,10.71462182,NA,NA
ACTL10,0.036518147,0.017561074,0.35253465700000003,0.7254103740000001,0.778185958,-7.102789904,NA,NA
ACTL6A,-1.280163409,-0.22456445,-5.40963616,7.02e-07,3.45e-06,5.29367704,NA,NA
ACTL6B,0.278358704,0.080274845,3.484676292,0.000820306,0.002024886,-1.493666437,NA,NA
ACTL7A,0.120179858,0.064682348,1.341138509,0.18385862600000002,0.245406207,-6.270119049,NA,NA
ACTL7B,-0.19899381,-0.0013773910000000002,-2.873788977,0.005252793,0.010670291,-3.2178156369999997,NA,NA
ACTL8,-0.028809812,0.130396825,-0.212068714,0.832619546,0.868295426,-7.142684181,NA,NA
ACTL9,0.152926233,0.101074306,1.41351187,0.161576764,0.219515607,-6.172174957,NA,NA
ACTN1,1.3797154059999999,0.30923073100000004,7.041362679,7.25e-10,7.0499999999999994e-09,12.03417087,NA,NA
