Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
TBX19,-0.348596138,-0.011247027,-1.846871605,0.068647279,0.093024222,-5.346397641
TBX2,-0.432554,0.179048036,-1.358347848,0.178360578,0.219673562,-6.107000578
TBX2-AS1,-1.104622398,0.059689288,-5.136988731,2.08E-06,9.27E-06,4.35149102
TBX20,-0.532991357,0.057624443,-3.916166415,0.000194506,0.000488651,-0.005275291
TBX21,-0.32139992,-0.011908254,-1.963668721,0.053215913,0.073879221,-5.132959468
TBX22,-0.113948128,0.034582139,-1.108491768,0.27113529,0.318980161,-6.410622911
TBX3,0.678651383,0.163770205,1.565223759,0.121673366,0.15577023,-5.811402122
TBX4,-1.010889319,0.067610734,-4.859987133,6.14E-06,2.37E-05,3.306075841
TBX5,-1.168876884,0.15201079,-4.194290823,7.32E-05,0.000206364,0.925563221
TBX5-AS1,-0.785204542,0.119250321,-3.423829495,0.000996758,0.002082844,-1.545876417
TBX6,-2.123890151,0.281846931,-8.467591297,1.37E-12,5.83E-11,18.2950851
TBXA2R,-1.094285124,0.171870168,-4.513593903,2.28E-05,7.43E-05,2.042327462
TBXAS1,0.461597479,0.085956194,2.42512947,0.017670164,0.027379452,-4.176571483
TC2N,0.859568259,0.14343087,1.855304843,0.067419435,0.091544593,-5.331385598
TCAF1,-0.353010982,-0.065471306,-2.369398777,0.020349067,0.031060353,-4.301381626
TCAIM,2.670923907,0.249124901,6.989200931,9.09E-10,1.32E-08,11.90573018
TCAM1P,-0.448863209,0.161152626,-1.801108033,0.07564136,0.101578936,-5.426769842
TCAP,-0.998149994,0.114921835,-6.860123636,1.59E-09,2.14E-08,11.35691246
TCEA1,-0.678381942,0.03385028,-4.101001884,0.000101994,0.000276831,0.608794961
TCEA2,-0.951632281,0.143377373,-5.258021227,1.29E-06,6.13E-06,4.817075779
TCEA3,-0.13763096,0.003084096,-0.808553885,0.421288563,0.472061578,-6.69607474
TCEAL1,1.053753879,0.226101916,2.088637904,0.040079417,0.057196374,-4.891547925
TCEAL2,3.445516782,-0.053061073,4.897648054,5.31E-06,2.09E-05,3.446480928
TCEAL3,1.540403913,0.237770205,3.911405172,0.000197724,0.000495894,-0.020848295
TCEAL4,0.224831992,-0.338071619,0.387195307,0.699690738,0.734843931,-6.947976596
TCEAL7,1.50200257,0.471048799,2.129930453,0.036404832,0.052498655,-4.808860941
TCEAL8,3.529967767,-0.164052218,6.331994369,1.53E-08,1.41E-07,9.138202166
TCEAL9,1.928861565,-0.206275626,2.811445318,0.006266989,0.010743617,-3.244724869
TCEANC,-0.684488166,0.059458117,-3.565313998,0.000631621,0.001385513,-1.11805118
TCEANC2,-0.659826671,0.05035587,-5.249340805,1.34E-06,6.31E-06,4.78351535
