Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ASCC3,0.467498699,0.004471508,1.939976351,0.056082229,0.097756762,-5.296688012
ASCL1,-1.722830434,0.152690341,-7.215290094,3.40E-10,1.45E-08,12.79374917
ASCL2,0.888544136,0.20723956,3.553796478,0.000655792,0.003364662,-1.2652245
ASCL3,0.500590348,-0.030957313,3.015619236,0.003483048,0.011732122,-2.822099626
ASCL5,0.227645624,0.06300925,1.982618186,0.05101411,0.090527435,-5.216544369
ASF1A,-1.108313073,-0.064642889,-2.269940926,0.026037826,0.053712081,-4.636163824
ASF1B,1.06870974,-0.036407967,5.98107061,6.72E-08,1.67E-06,7.601432255
ASGR1,0.369540872,0.145758584,1.976719374,0.051691022,0.091516708,-5.227724684
ASGR2,1.058873398,0.066023288,4.920812157,4.86E-06,6.78E-05,3.431137547
ASH1L,-1.349215242,0.028974578,-3.293698747,0.001501296,0.006263667,-2.041545075
ASH1L-AS1,0.798073451,0.014024878,2.537984404,0.013190094,0.031844532,-4.03344637
ASH2L,-0.790296388,-0.047729387,-3.462488532,0.000880918,0.004172857,-1.542651956
ASIC1,0.278745307,-0.011545342,2.632895101,0.010245454,0.026325651,-3.806404731
ASIC2,-0.057335605,-0.010847338,-0.358307519,0.721103736,0.77056908,-7.081370467
ASIC4,0.707649439,-0.004412308,4.285425635,5.27E-05,0.000472404,1.132297913
ASIC5,0.286243782,-0.011270136,2.418997472,0.017948645,0.040376117,-4.308110243
ASIP,0.795894625,-0.00644028,4.833653628,6.80E-06,8.92E-05,3.105530937
ASL,1.152750046,-0.003517048,3.971871602,0.000160398,0.001134835,0.068660413
ASMT,0.3054249,0.005473075,2.109776349,0.03816007,0.072320249,-4.968282576
ASMTL,-0.626423491,-0.019654986,-2.69905103,0.008560566,0.022976729,-3.644051333
ASMTL-AS1,0.364666898,0.056416204,1.562962883,0.122204316,0.181263073,-5.935450544
ASNA1,-0.823873843,-0.172626583,-2.322537305,0.022875153,0.048586196,-4.522467922
ASNS,0.246958417,0.043494878,2.534383298,0.013315534,0.032095074,-4.041922851
ASNSD1,-1.112883891,-0.186332747,-2.446357672,0.016735685,0.038342474,-4.245947428
ASPA,-0.967515347,0.543927122,-2.069347321,0.041903295,0.077709767,-5.0487113
ASPDH,0.324016552,0.010232267,1.698576873,0.093478063,0.146486322,-5.720323645
ASPG,0.038413958,0.033697425,0.33470419,0.738767632,0.785649943,-7.089592989
ASPH,-1.307211564,0.359941192,-3.092988707,0.002768971,0.009898222,-2.61025682
ASPHD1,-1.043759478,0.087925136,-4.717694993,1.06E-05,0.00012774,2.677125091
ASPHD2,0.398598434,0.077472952,1.300582408,0.197320332,0.267667121,-6.303685093
ASPM,-1.221791132,0.276454563,-2.726423493,0.007940513,0.021684421,-3.575904623
ASPN,2.607341556,0.653369134,2.87286947,0.005266584,0.015981981,-3.201810104
ASPRV1,0.201487751,0.03766634,1.238284467,0.219411264,0.291930885,-6.381658299
ASPSCR1,0.162758482,0.062331843,0.805473023,0.423052647,0.500354102,-6.82069586
ASRGL1,0.927695044,0.078125356,1.98845835,0.0503514,0.089623395,-5.205445637
ASS1,-0.143816021,-0.091559914,-0.342582065,0.732855916,0.780708151,-7.086910709
ASTE1,-0.130509784,0.013153144,-0.684133918,0.495965589,0.56970025,-6.911032243
ASTN1,-1.676993165,0.391229545,-6.17680171,2.95E-08,8.01E-07,8.40590517
ASTN2,0.133786535,0.188536481,0.50962147,0.611789209,0.675909511,-7.015417858
ASUN,-0.935004727,-0.303317916,-1.787030035,0.077908662,0.126806093,-5.571084002
ASXL1,-0.761176775,0.096892402,-3.875048457,0.000224032,0.001472408,-0.249188256
ASXL2,-0.74035328,0.161632132,-4.30148773,4.97E-05,0.000449361,1.188132766
ASXL3,-0.684547241,0.257265366,-2.34319593,0.021729154,0.046716107,-4.477193025
ASZ1,0.348130713,0.09711731,2.864162801,0.005398826,0.016282208,-3.224493524
ATAD1,-0.734051771,0.009880793,-3.635505228,0.000501628,0.002741433,-1.012605921
ATAD2,0.014596741,0.223431594,0.045754656,0.963625475,0.970878335,-7.144900299
ATAD2B,0.46850507,0.052519272,4.446876263,2.92E-05,0.000294738,1.699205364
ATAD3A,0.844269382,-0.013357219,4.858724389,6.17E-06,8.23E-05,3.198879197
ATAD3B,0.594706247,0.077711769,3.43687831,0.000956138,0.004439269,-1.619525723
ATAD3B///ATAD3A,0.803564451,0.038973073,4.702201836,1.12E-05,0.000134229,2.620312009
ATAD3C,0.639617927,0.123669646,3.940715815,0.000178695,0.001235083,-0.034182236
ATAD5,0.142149354,0.051586759,0.730823753,0.467127617,0.542672354,-6.877989027
ATAT1,0.166524996,0.023053292,1.04336588,0.300077072,0.376426139,-6.601763875
ATCAY,0.146355784,-0.113501972,0.755811139,0.452092134,0.528585984,-6.859421766
ATE1,0.312222926,0.111157458,1.96349984,0.053235895,0.093736515,-5.252671166
ATF1,-0.551539128,0.005809735,-3.42531135,0.000992065,0.004563169,-1.654109577
ATF2,0.200857982,0.029447676,1.549984528,0.125287995,0.18496044,-5.955161021
ATF3,2.316997477,0.243992491,3.661224586,0.000460705,0.002565011,-0.932253411
ATF4,0.133891415,-0.039727184,0.527077817,0.599670431,0.664755511,-7.006338652
ATF5,0.551402779,0.191441917,3.438290568,0.000951837,0.004425772,-1.615297408
ATF6,-0.191876022,0.062586692,-0.977064717,0.331628298,0.408555326,-6.668310595
ATF6B,-0.112210285,0.070261238,-0.778235877,0.438839356,0.515704127,-6.842235357
ATF7,0.059336072,0.050496407,0.236223152,0.813893201,0.849131143,-7.117869931
ATF7IP,0.186136799,0.155516264,1.04938664,0.297316456,0.373448023,-6.595510474
ATF7IP2,-2.012539198,0.125024659,-7.794393227,2.68E-11,1.44E-09,15.2983522
ATG10,0.38933139,0.109467315,2.302483937,0.024038464,0.05044468,-4.56608371
ATG101,0.942599199,-0.020969594,3.204323307,0.001977627,0.007714549,-2.298153089
ATG12,-0.455898181,0.194056945,-1.174381058,0.243898847,0.318149474,-6.457818953
ATG13,-0.29875055,6.29E-05,-1.591109931,0.115724444,0.173668728,-5.892174109
ATG14,-1.6089694,0.106539979,-5.814259883,1.34E-07,3.08E-06,6.923134249
ATG16L1,-0.382205893,0.052698575,-3.090067529,0.002793249,0.00997089,-2.618331062
ATG16L2,0.255321233,0.085890559,1.214545485,0.228289172,0.301630021,-6.410403749
ATG2A,0.08108577,0.046052549,0.398270717,0.691544151,0.745780276,-7.066176473
