Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
MPDU1,-0.500633638,0.011787476,-3.878456139,0.00022143,0.000731876,-0.017135664
MPDZ,0.306964429,0.341830783,0.901440354,0.370194105,0.451908104,-6.489472111
MPEG1,1.908777339,0.312071809,5.160423433,1.90E-06,1.19E-05,4.539061583
MPG,0.549727058,0.009865847,3.289165562,0.001522599,0.003889459,-1.825258396
MPHOSPH10,1.829159613,-0.114965117,8.06244463,8.21E-12,3.54E-10,16.5864613
MPHOSPH6,0.402516043,0.161005653,1.983302543,0.05093607,0.083129001,-4.971983573
MPHOSPH8,0.21348114,0.137885119,0.893552248,0.374374439,0.4562342,-6.496497396
MPHOSPH9,1.101402158,0.04896798,4.897028499,5.32E-06,2.90E-05,3.545030458
MPI,0.723933859,0.05974702,3.914432991,0.000195672,0.000658691,0.099867862
MPL,-0.332088083,0.067520321,-2.63438776,0.010204334,0.020535274,-3.565559122
MPLKIP,1.793444634,-0.118532781,4.822709106,7.09E-06,3.69E-05,3.2693497
MPND,1.20646792,-0.040664614,5.873084162,1.05E-07,1.01E-06,7.343543472
MPO,-0.093123597,0.035680967,-0.937199512,0.351616345,0.432796034,-6.456867049
MPP1,0.93996295,0.024941698,4.384281829,3.68E-05,0.00015401,1.690508585
MPP2,-1.092581504,0.109859195,-6.37092007,1.30E-08,1.75E-07,9.381880702
MPP3,-0.120833438,-0.029157168,-0.836998344,0.405210364,0.486606838,-6.545092743
MPP4,0.025556373,0.068645654,0.264908917,0.791794769,0.836676568,-6.859606487
MPP5,0.45775837,0.036013435,2.530902576,0.013437803,0.026069618,-3.81181296
MPP6,0.890890023,0.173747333,3.062178372,0.003035221,0.007119777,-2.462794601
MPP7,-0.233245178,0.051584517,-1.624767008,0.108340885,0.159920473,-5.593615471
MPPE1,-0.276682447,-0.027690563,-1.679355169,0.097178183,0.146013686,-5.506327472
MPPED1,-0.71348807,0.144287197,-5.049654301,2.94E-06,1.74E-05,4.117895449
MPPED2,-1.654419331,0.234517466,-8.387288686,1.96E-12,1.09E-10,17.99339599
MPRIP,1.415432406,0.193895089,4.391010374,3.59E-05,0.000150769,1.714086806
MPST,0.748329997,-0.033835052,3.73396656,0.000361463,0.001116466,-0.479700927
MPV17,1.496233972,-0.187277137,5.23125813,1.43E-06,9.36E-06,4.810665263
MPV17L,0.11799225,0.138129236,0.51534664,0.607802422,0.677398817,-6.761834969
MPV17L2,-0.092792252,-0.049184619,-0.642694545,0.522351109,0.600380903,-6.688212912
MPZ,-0.590137052,-0.124183844,-3.812557111,0.000277256,0.00088979,-0.229576234
MPZL1,-0.970483966,0.088212528,-4.705663107,1.11E-05,5.44E-05,2.839718563
MPZL2,1.261522666,0.269116184,2.845217356,0.005697208,0.012314948,-3.038761843
MPZL3,-0.187277591,0.044248182,-2.107072992,0.038401002,0.064999137,-4.731459792
MR1,1.727075037,0.24697242,4.561699328,1.91E-05,8.72E-05,2.319228146
MRAP,-0.620766033,0.077832898,-4.819323914,7.18E-06,3.73E-05,3.256845192
MRAP2,0.231407656,0.214674914,0.743251357,0.459614534,0.540744056,-6.618769857
MRAS,0.956289566,0.192262411,3.572536521,0.000616897,0.001774846,-0.982118704
MRC1,1.637007326,0.165758808,4.013716335,0.000138633,0.000487275,0.426431988
MRC2,1.832600671,0.272000458,6.975663048,9.64E-10,1.95E-08,11.92067711
MRE11A,-0.445899494,0.048089996,-4.588184026,1.73E-05,8.00E-05,2.414304443
MREG,-0.523169558,-0.055792904,-2.50530984,0.014368312,0.027609674,-3.871432679
MRFAP1,0.870783078,-0.253694562,2.618768765,0.010642122,0.021304379,-3.603254256
MRFAP1L1,2.247930504,-0.171402959,5.039425337,3.06E-06,1.80E-05,4.079227798
MRGBP,1.096406412,-0.076178101,5.532575097,4.27E-07,3.32E-06,5.984538492
MRGPRF,1.502781212,-0.004098111,3.912073927,0.000197269,0.000663565,0.092173803
MRGPRF-AS1,-0.474578633,-0.04438212,-3.959739136,0.000167299,0.000575676,0.248225609
MRGPRG-AS1,-0.457538303,0.028522473,-3.207867798,0.001956309,0.004852772,-2.057587962
MRGPRX1,-0.029456949,0.0626618,-0.232483118,0.816785962,0.855598023,-6.867687631
MRGPRX2,-0.629042538,-0.047365053,-4.854297262,6.28E-06,3.33E-05,3.386254586
MRGPRX3,-0.014072261,0.00507156,-0.130180108,0.896766913,0.919715472,-6.88628401
MRGPRX4,-0.268331928,-0.034057661,-2.552668521,0.012689546,0.024832621,-3.76070611
MRI1,1.622366804,0.136635064,4.651713964,1.36E-05,6.49E-05,2.643620677
MRLN,-0.223387519,0.009619576,-1.660868353,0.100848643,0.150621188,-5.536188717
MRM1,-0.475501174,0.072507593,-3.31523924,0.001403837,0.003624336,-1.749822817
MRM2,0.47219696,-0.077378651,2.572855585,0.012029401,0.023699382,-3.71297781
MRM3,1.379942627,-0.087028907,5.318187727,1.01E-06,6.97E-06,5.146318396
MRO,-0.015752397,0.167728844,-0.095365615,0.924274727,0.940716265,-6.890220965
MROH1,1.215508091,0.173299381,4.800574463,7.72E-06,3.97E-05,3.187670813
MROH2A,-0.587071672,0.060796314,-3.690802603,0.00041757,0.001262252,-0.615553302
MROH2B,-0.203677699,0.043051693,-1.897826898,0.06150577,0.097902558,-5.130425738
MROH6,-0.526498775,0.143552629,-2.812828629,0.006242659,0.013356261,-3.121837724
MROH7,-0.195393216,0.063594155,-1.288939416,0.201317719,0.27044804,-6.070705356
MROH7-TTC4///TTC4,1.365808287,-0.144391153,5.709372604,2.07E-07,1.80E-06,6.686174212
MROH8,-0.240020162,0.080940996,-2.208287334,0.030230677,0.052765366,-4.525173636
MROH9,-0.163985765,0.078377656,-1.708455929,0.091621686,0.138791022,-5.458700963
MRPL1,1.403021622,-0.105934371,5.46432494,5.63E-07,4.21E-06,5.716136781
MRPL10,0.761081009,0.011915004,2.713588516,0.008225964,0.016998897,-3.371560737
MRPL11,1.302284214,-0.139141034,5.186540103,1.71E-06,1.09E-05,4.638998839
MRPL12,-0.291044675,0.014390024,-2.702262364,0.008485602,0.017468129,-3.399594062
MRPL13,1.803575445,-0.167541854,3.937930258,0.000180425,0.000613314,0.176670909
MRPL14,1.077036474,0.079616087,3.727645761,0.000369204,0.001136458,-0.499662762
MRPL15,2.188320317,-0.290119733,5.631206961,2.85E-07,2.36E-06,6.374865189
MRPL16,1.816276698,-0.103093979,5.490094845,5.07E-07,3.85E-06,5.817313731
MRPL17,2.216378105,-0.131334157,8.026736314,9.62E-12,4.07E-10,16.43197656
MRPL18,1.326304605,-0.082547746,4.212655919,6.85E-05,0.000263599,1.096473418
MRPL19,0.118178821,0.087542613,0.587065167,0.558895048,0.633568353,-6.722347135
MRPL2,0.337653086,0.04500505,1.778461086,0.079316143,0.122292812,-5.34103593
MRPL20,-0.155319847,0.098538941,-1.181203523,0.241194743,0.315029001,-6.201507089
MRPL21,0.936109495,-0.029916422,4.563169596,1.90E-05,8.67E-05,2.324498057
MRPL22,1.673566321,-0.171735783,5.87948397,1.03E-07,9.87E-07,7.369382677
MRPL23,-0.416151309,0.037069055,-3.045542302,0.003188699,0.007429598,-2.508136725
MRPL24,1.10866089,-0.094217896,4.584056802,1.75E-05,8.12E-05,2.399467914
MRPL27,1.954898995,-0.13960902,6.331172212,1.54E-08,2.01E-07,9.217197902
MRPL28,-0.647976592,0.014729709,-3.015657495,0.003482656,0.008032867,-2.589103636
MRPL3,2.391521423,-0.246505418,4.473636592,2.65E-05,0.00011593,2.005353286
MRPL30,-0.487479798,0.215702292,-1.637222188,0.1057068,0.156552307,-5.573935663
MRPL32,0.965230136,-0.200769593,2.716767863,0.008154395,0.016865117,-3.363674217
MRPL33,0.812296084,-0.054330616,3.34665027,0.001272329,0.003334011,-1.658356905
MRPL34,1.521694926,-0.132910491,5.692990425,2.22E-07,1.90E-06,6.620788162
MRPL35,0.433750245,-0.01566833,2.225030019,0.029037221,0.050966516,-4.490229096
MRPL36,1.296857682,-0.096832014,3.42174016,0.001003412,0.002707895,-1.437125788
MRPL37,1.387275607,-0.130295656,5.262346587,1.27E-06,8.41E-06,4.930412788
MRPL38,-0.268168796,0.086572774,-2.039326778,0.044884056,0.074386084,-4.86472549
MRPL39,0.053583572,0.119629776,0.383012719,0.702776522,0.761441177,-6.821288436
MRPL4,-0.007543904,0.133017397,-0.039644629,0.968480113,0.975194698,-6.893993172
MRPL40,1.911571871,-0.176741055,7.418109856,1.40E-10,3.92E-09,13.80882446
MRPL41,-0.325206522,0.207097086,-2.085981798,0.040326398,0.067777996,-4.773365115
MRPL42,0.240164902,0.081417426,0.804796363,0.423440688,0.504951998,-6.571369938
MRPL43,0.292813807,0.050011336,1.323367313,0.18966952,0.257320129,-6.02660301
MRPL44,0.547687656,0.025162481,2.425701657,0.017644377,0.033005783,-4.053592366
MRPL45,0.264450557,-0.031257865,1.333297789,0.186405628,0.253495683,-6.01367575
MRPL45P2,-0.313339426,0.062589572,-3.780621725,0.000308925,0.000974951,-0.331642665
MRPL46,1.181041668,-0.07628268,4.434849457,3.05E-05,0.000130924,1.868228959
MRPL47,-0.384399232,-0.001671539,-1.846502436,0.068701454,0.107639784,-5.222514797
MRPL48,1.265848662,-0.157512561,4.891337781,5.44E-06,2.95E-05,3.523843994
MRPL49,1.268565745,-0.091329738,4.818817841,7.20E-06,3.74E-05,3.254976215
MRPL50,1.034193118,0.09667133,4.861696839,6.10E-06,3.25E-05,3.413697371
MRPL51,0.692252119,-0.205833021,2.0795061,0.040934068,0.068653931,-4.786156106
MRPL51///SPTLC1,-0.549373126,0.099756446,-2.78295902,0.006787765,0.014373064,-3.19776884
MRPL52,-0.601079391,0.027219636,-3.80921468,0.000280419,0.000897867,-0.240285986
MRPL53///CCDC142,2.054049795,-0.141746752,5.86518494,1.09E-07,1.04E-06,7.31166467
MRPL54,0.996317839,0.083786389,4.461391846,2.77E-05,0.000120471,1.961989421
MRPL55,-0.071948957,0.05696735,-0.607119193,0.54557633,0.621712854,-6.71039444
MRPL57,0.682338504,0.073239209,4.182444108,7.63E-05,0.000288922,0.993408227
MRPL58,1.44309374,0.016527542,5.414057816,6.90E-07,5.00E-06,5.519370568
MRPL9,1.993571049,-0.125121108,5.495690124,4.96E-07,3.77E-06,5.839308525
MRPS10,0.530539706,-0.041697217,2.287743379,0.024926633,0.044625742,-4.357286533
MRPS11,-0.396869539,0.096679097,-2.887950213,0.005044566,0.011067862,-2.927983146
MRPS12,-0.891445959,0.104528656,-4.996912794,3.61E-06,2.07E-05,3.918937965
MRPS14,1.109715337,0.176956311,4.461191203,2.77E-05,0.000120507,1.961279434
MRPS15,-0.724261703,0.008791837,-5.999030681,6.23E-08,6.44E-07,7.85391245
MRPS16,0.360187864,0.046015703,1.550423709,0.125182643,0.181087398,-5.708159013
MRPS17,1.546761931,-0.070294123,5.316937769,1.02E-06,7.00E-06,5.141474211
MRPS18A,0.515947384,0.100256691,1.604456478,0.112749632,0.165592172,-5.625406403
MRPS18B,0.22618588,-0.042022504,1.116937428,0.267529891,0.343331315,-6.274294876
MRPS18C,-0.100416264,0.036665961,-0.941710308,0.349316382,0.430370332,-6.452666085
MRPS2,1.785406999,-0.235338648,5.952094023,7.58E-08,7.65E-07,7.663260117
MRPS21,1.422386105,-0.068555395,4.759078922,9.05E-06,4.55E-05,3.035086517
MRPS22,1.127645345,0.012982634,4.824422988,7.04E-06,3.67E-05,3.275682345
MRPS23,0.273098289,0.038185527,1.362802191,0.176958032,0.242616415,-5.974724217
MRPS25,0.016372757,0.032517526,0.06319821,0.949774126,0.961062425,-6.892778509
MRPS26,-0.669662145,-0.042376499,-4.720571314,1.05E-05,5.17E-05,2.894125274
MRPS27,0.496317335,0.027850815,1.698195111,0.093550413,0.141266016,-5.475580413
MRPS28,2.014179222,-0.055478367,5.860848541,1.11E-07,1.05E-06,7.294171042
MRPS30,0.931325142,-0.109987413,2.828077608,0.005980143,0.012851141,-3.082820382
MRPS31,1.451762415,0.170422679,6.269158823,2.00E-08,2.47E-07,8.960886807
MRPS33,0.887252492,-0.177554879,2.85069542,0.005609409,0.012152352,-3.024634966
MRPS34,0.632150524,0.027705766,3.091552766,0.002780881,0.006604035,-2.382265062
MRPS35,1.686167655,-0.236988912,4.565574295,1.88E-05,8.61E-05,2.333119334
MRPS36,1.408013752,-0.024527994,4.905213962,5.16E-06,2.82E-05,3.575527058
MRPS5,-0.490714789,0.204220956,-2.119179328,0.037332226,0.063421972,-4.707236916
MRPS6,0.795775883,0.059245402,2.743524102,0.007574248,0.015788682,-3.297004103
MRPS7,1.379357456,-0.076069478,4.565514552,1.88E-05,8.61E-05,2.332905112
MRPS9,2.100998842,-0.304122892,7.030701473,7.59E-10,1.58E-08,12.15437687
MRRF,0.470552206,0.029929036,2.765850913,0.007119295,0.014968101,-3.240962089
MRS2,0.089766516,0.069382423,0.72531288,0.470481307,0.551575663,-6.63188661
MRTO4,0.256333656,0.002261395,1.63615502,0.105930442,0.15682081,-5.575627325
MRVI1,1.815932084,0.511300505,7.337112938,2.00E-10,5.12E-09,13.46169274
MRVI1-AS1,-0.730582621,-0.082843315,-4.221051186,6.65E-05,0.000256785,1.125194628
MS4A1,0.143700184,0.100286134,0.88214975,0.380469628,0.46220385,-6.50654579
MS4A12,-0.017147213,0.00195868,-0.154683499,0.877479743,0.90492771,-6.882784669
MS4A14,-0.062034336,0.010662404,-0.507674114,0.613147957,0.682329765,-6.765757443
MS4A15,-0.256595471,0.047846287,-2.092264401,0.039744318,0.066951595,-4.760921676
